2020-08-06 22:41:07 status unpacked libuuid1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:07 status unpacked libuuid1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:08 install libzstd1:armhf <none> 1.3.3+dfsg-2ubuntu1
2020-08-06 22:41:08 status half-installed libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2020-08-06 22:41:08 status unpacked libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2020-08-06 22:41:08 status unpacked libzstd1:armhf 1.3.3+dfsg-2ubuntu1
2020-08-06 22:41:08 install login:armhf <none> 1:4.5-1ubuntu1
2020-08-06 22:41:08 status half-installed login:armhf 1:4.5-1ubuntu1
2020-08-06 22:41:08 status unpacked login:armhf 1:4.5-1ubuntu1
2020-08-06 22:41:08 status unpacked login:armhf 1:4.5-1ubuntu1
2020-08-06 22:41:08 install lsb-base:all <none> 9.20170808ubuntu1
2020-08-06 22:41:08 status half-installed lsb-base:all 9.20170808ubuntu1
2020-08-06 22:41:09 status unpacked lsb-base:all 9.20170808ubuntu1
2020-08-06 22:41:09 status unpacked lsb-base:all 9.20170808ubuntu1
2020-08-06 22:41:09 upgrade mawk:armhf 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-08-06 22:41:09 status half-configured mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:41:09 status unpacked mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:41:09 status half-installed mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:41:09 status half-installed mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:41:09 status unpacked mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:41:09 status unpacked mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:41:09 install mount:armhf <none> 2.31.1-0.4ubuntu3
2020-08-06 22:41:09 status half-installed mount:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:09 status unpacked mount:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:09 status unpacked mount:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:09 install ncurses-base:all <none> 6.1-1ubuntu1
2020-08-06 22:41:09 status half-installed ncurses-base:all 6.1-1ubuntu1
2020-08-06 22:41:09 status unpacked ncurses-base:all 6.1-1ubuntu1
2020-08-06 22:41:09 status unpacked ncurses-base:all 6.1-1ubuntu1
2020-08-06 22:41:09 install ncurses-bin:armhf <none> 6.1-1ubuntu1
2020-08-06 22:41:09 status half-installed ncurses-bin:armhf 6.1-1ubuntu1
2020-08-06 22:41:10 status unpacked ncurses-bin:armhf 6.1-1ubuntu1
2020-08-06 22:41:10 status unpacked ncurses-bin:armhf 6.1-1ubuntu1
2020-08-06 22:41:10 install passwd:armhf <none> 1:4.5-1ubuntu1
2020-08-06 22:41:10 status half-installed passwd:armhf 1:4.5-1ubuntu1
2020-08-06 22:41:11 status unpacked passwd:armhf 1:4.5-1ubuntu1
2020-08-06 22:41:11 status unpacked passwd:armhf 1:4.5-1ubuntu1
2020-08-06 22:41:11 upgrade perl-base:armhf 5.26.1-6 5.26.1-6
2020-08-06 22:41:11 status half-configured perl-base:armhf 5.26.1-6
2020-08-06 22:41:11 status unpacked perl-base:armhf 5.26.1-6
2020-08-06 22:41:11 status half-installed perl-base:armhf 5.26.1-6
2020-08-06 22:41:12 status half-installed perl-base:armhf 5.26.1-6
2020-08-06 22:41:13 status unpacked perl-base:armhf 5.26.1-6
2020-08-06 22:41:13 status unpacked perl-base:armhf 5.26.1-6
2020-08-06 22:41:13 install procps:armhf <none> 2:3.3.12-3ubuntu1
